epoch,time_s_unc,spacecraft,type,r_x_GSE,r_y_GSE,r_z_GSE,delay_s,ni_up,ni_dw,v_x_GSE_up,v_x_GSE_dw,v_y_GSE_up,v_y_GSE_dw,v_z_GSE_up,v_z_GSE_dw,method,Nx,Ny,Nz,v_sh,ni_up_unc,ni_dw_unc,delay_s_unc,v_x_GSE_up_unc,v_x_GSE_dw_unc,v_y_GSE_up_unc,v_y_GSE_dw_unc,v_z_GSE_up_unc,v_z_GSE_dw_unc,Nx_unc,Ny_unc,Nz_unc,v_sh_unc
1995-12-15    04:36:52.5,6,wind,FF,75.976,26.592,7.78,1222.98,13.2,26.9,-309.2,-330.3,11.1,17.8,-13.7,-0.8,RH08,-0.951,0.247,0.184,341.2,0.4,1,69.18,0.7,0.7,1,1.6,0.8,1.3,0.005,0.018,0.182,2.7
1995-12-24    05:57:34.5,3,wind,FF,29.54,-36.651,0.537,229.92,16.4,41.8,-331.4,-379.5,-36.1,-66.6,-34.5,-65.3,RH08,-0.906,-0.304,-0.296,422.8,1.5,4.8,19.2,2.8,2,2.2,2.8,1.6,2.3,0.006,0.013,0.287,11.5
1996-02-06    19:14:22.5,3,wind,FF,159.421,-36.279,14.62,2405.64,7.6,13,-345.1,-362.6,-4.8,-8.9,-9.4,8.8,RH08,-0.963,-0.093,0.251,383.4,0.3,0.4,185.64,1.4,2.6,0.7,1.4,0.9,1.3,0.005,0.009,0.246,5.9
1996-02-21    22:14:37.5,60,wind,FF,173.33,-8.578,11.55,2345.5800000000004,4.1,6.4,-393.7,-413.1,1.2,-0.9,-12.1,5.3,RH08,-0.968,-0.128,0.218,440,0.1,0.2,143.76,1.8,0.6,1.3,0.9,1.1,1.1,0.003,0.009,0.214,5.3
1996-03-02    20:31:49.5,3,wind,FF,160.337,12.993,8.22,3147.2400000000002,13.3,18.6,-304.2,-309.3,-3.3,-2.8,-6.6,5.2,RH08,-0.99,-0.131,0.05,319.8,0.1,0.4,26.52,0.1,0.8,0.4,0.5,0.3,0.3,0.001,0.009,0.05,2.2
1996-04-02    10:07:55.5,9,wind,FF,70.983,-4.147,1.053,764.6999999999999,12.1,18.3,-330.4,-342.8,-2.6,6.2,2.8,16.8,RH08,-0.294,-0.755,0.587,116.9,0.3,0.9,164.57999999999998,1.2,1.5,0.5,1.8,0.7,1.3,0.011,0.013,0.508,5.5
1996-04-03    09:47:16.5,3,wind,FF,76.476,1.585,0.421,1236.78,14.5,21.4,-337,-351.5,-2.6,-8.2,0.7,7.9,RH08,-0.976,-0.181,0.117,379.2,0.5,0.5,24.12,1.1,0.3,1.2,0.7,1.1,2.9,0.006,0.026,0.117,3.8
1996-04-08    02:41:10.5,3,wind,FF,82.966,25.511,-2.53,1393.68,15.8,26.4,-282.3,-293.1,-24.9,-35,-8.2,18.3,RH08,-0.378,-0.261,0.888,182.3,0.2,0.4,526.6800000000001,2.1,0.8,1.6,1.4,1.3,1.5,0.027,0.022,0.502,4
1996-04-08    13:08:58.5,3,wind,FF,82.153,27.368,-2.77,1654.56,17.8,25.3,-298,-317.8,-17.7,-25,0,21.3,RH08,-0.803,-0.106,-0.587,255.4,0.3,0.8,362.94,4.1,2,3.1,2.9,8.5,3.1,0.01,0.008,0.508,12.5
1996-06-16    04:18:04.5,3,wind,SR,201.906,17.52,-14.54,3736.08,12.1,5.3,-369.4,-417.2,15,0.9,-3.4,-40.6,RH08,-0.914,0.343,0.218,317.7,0.7,0.2,137.28,2,1.8,1.5,2.8,2.5,2.6,0.005,0.012,0.214,3.6
1996-06-18    22:35:55.5,3,wind,FF,205.18,19.32,-14.39,2635.8,10.5,15.8,-399.1,-428,-22.9,-25.6,-17.4,-19.7,RH08,-0.922,-0.383,-0.05,460.8,0.5,1.3,94.08,4.9,3.4,2.2,5.8,1.5,3.4,0.007,0.018,0.05,16.3
1996-07-08    00:05:19.5,60,wind,SF,211.19,18.14,-8.96,3277.86,4.4,7.4,-378.6,-413.4,-28,5.2,1.8,6.8,RH08,-0.73,-0.671,-0.128,299.4,0.2,0.2,112.74,1.1,3.4,2.5,6,2.3,3.6,0.003,0.002,0.128,8.1
1996-07-08    01:50:01.5,9,wind,SF,211.17,18.12,-8.93,3012.2400000000002,5.7,8.9,-411.7,-432.7,-9.3,3.9,-12.1,0.2,RH08,-0.743,-0.513,-0.43,325.6,0.2,0.3,434.34,2.7,1.9,1.8,2,1.9,1.6,0.01,0.012,0.401,7.5
1996-07-16    02:38:37.5,60,wind,SF,205.498,16.75,-5.048,6749.16,5.3,13.6,-298.6,-349.4,6.7,14.1,-39.6,-16.6,RH08,0.013,0.973,0.229,12.1,0.1,1,4145.7,1,6.9,2.9,3,1.7,2.5,0.021,0.009,0.225,4.5
1996-07-28    12:14:46.5,3,wind,FF,179.226,16.56,-3.63,3028.62,19.3,32.3,-308,-327.2,-13.6,-21.3,7.4,-4.5,RH08,-0.877,-0.163,-0.453,327.2,0.3,0.9,444.78000000000003,0.3,0.9,0.2,1,0.3,2.1,0.015,0.025,0.419,2
1996-08-12    22:11:52.5,57,wind,FF,98.932,30,-3.04,850.02,21.2,30.7,-343.2,-363.1,-11.9,-5.9,4.5,-20.5,RH08,-0.421,0.269,-0.866,240,0.6,1.6,434.64,1.6,1.3,1,0.6,1.5,0.8,0.012,0.015,0.524,12.3
1996-08-16    07:45:22.5,9,wind,FF,60.772,34.15,-2.143,938.58,11.7,19.8,-376.3,-391.5,-21.2,-33.4,3,-27,RH08,-0.918,-0.221,-0.33,414.1,0.3,0.6,93.3,0.8,1.5,1.5,5.2,0.7,3.3,0.011,0.024,0.317,4.2
1996-11-11    15:12:16.5,3,wind,FF,65.311,17.679,6.26,1071.3,11.3,20.2,-347.4,-362.7,-8.2,-3.6,2.8,-1.7,RH08,-0.987,0.095,-0.128,378.7,0.1,1.3,15,0.4,1.1,0.1,1.3,0.3,0.5,0.003,0.014,0.128,2.3
1996-12-02    10:00:58.5,6,wind,FF,10.199,19.338,-0.061,39.660000000000004,20.1,30.7,-277.3,-304.4,-20.2,-10.1,-9.6,-3.2,RH08,-0.888,0.369,0.274,322.5,0.3,1,13.08,0.7,0.9,0.5,1,0.7,0.8,0.016,0.031,0.267,4.8
1996-12-23    15:37:25.5,60,wind,SF,76.464,22.854,-8.73,1181.16,4.1,7.4,-381.7,-400.6,37.1,12.7,21.4,12.4,RH08,-0.788,0.219,0.575,331,0.1,0.2,165.66,1.7,0.8,6.6,4,4.5,1.6,0.014,0.008,0.501,3.2
1997-01-05    03:20:46.5,3,wind,FF,30.834,-60.58,2.393,756.72,7.1,11.4,-335.7,-359.7,-10.7,-8,-9.7,21.7,RH09,-0.968,0.251,0.017,384.2,0.1,0.6,58.86,0.7,3,3.2,1.8,0.4,2.8,0.017,0.066,0.017,8.3
1997-01-10    00:52:04.5,6,wind,FF,85.033,-59.414,-3.433,1084.6200000000001,6.5,13.6,-376.2,-413.1,-3.9,-15.2,17.3,-14.6,RH08,-0.986,-0.095,-0.14,450.6,0.1,1.4,41.519999999999996,1.1,3.8,1.3,8.7,1.3,5.6,0.003,0.014,0.139,10.7
1997-02-09    12:50:25.5,7,wind,FF,198.382,2.653,-17.32,1900.98,3.9,8.9,-521.2,-588.8,26.1,43.9,-20,-24.6,RH08,-0.97,0.128,-0.207,635.9,0.2,0.5,124.19999999999999,2.8,11.1,4,11.8,7,27.6,0.007,0.025,0.204,12.5
1997-02-27    17:29:07.5,6,wind,FF,217.16,17.754,-10.23,2415.84,1.8,2.9,-440.8,-491.7,2.8,-15.3,-12.2,-23.7,RH08,-0.984,0.165,-0.073,557.4,0.1,0.3,134.76,2.9,14.9,5.8,3.6,14.1,7.4,0.002,0.009,0.072,30.2
1997-03-05    12:54:43.5,10,wind,FF,222.156,19.62,-5.47,3490.38,7.7,17.3,-320.2,-362.6,-8.2,-17.5,-9.9,-17.6,RH08,-0.975,-0.077,-0.207,392.4,0.3,0.9,168.12,2.2,2.1,0.8,1.1,2.8,2.5,0.002,0.009,0.204,5.4
1997-03-15    22:30:31.5,3,wind,FF,227.19,20.61,3.385,3500.34,7,10.1,-340.4,-353.7,-9.8,-21,15.3,27.8,MX3,-0.944,-0.178,0.278,386.1,0.1,0.2,249.35999999999999,0.9,1.1,1.2,1.4,1.7,2.1,0.037,0.141,0.27,7.3
1997-03-20    19:42:22.5,3,wind,FF,228.29,18.95,7.545,3784.7999999999997,18.6,32,-304.6,-319.2,-5.9,-10.8,-1.9,18.1,RH08,-0.774,-0.047,0.631,292.5,0.6,0.6,918.3,0.8,0.4,1.2,1.1,0.7,0.6,0.005,0.008,0.53,3.3
1997-04-10    12:58:34.5,3,wind,FF,230,8.14,21.219,3752.58,15,22.4,-306.6,-325.5,-10.5,-3.2,4.3,30,RH08,-0.972,-0.06,0.229,371.4,0.4,0.6,252.78,1,1.4,0.8,2.3,1.9,2.3,0.002,0.013,0.225,5.7
1997-04-16    12:21:25.5,6,wind,FF,226.912,5.012,23.338,3389.64,19.1,30.4,-355.7,-375.6,-0.4,-10.1,8.7,11.7,RH08,-0.962,-0.267,0.061,401.3,1,0.4,49.14,1.5,1,0.6,0.8,1,0.8,0.004,0.014,0.061,4
1997-04-30    18:05:43.5,9,wind,FF,215.765,-1.72,24,1688.2800000000002,14.5,27.1,-343.3,-364.9,1.1,-4.8,-10.7,25.4,RH08,-0.373,-0.267,0.888,209.9,0.2,2.5,1240.98,1.1,0.4,1.3,3.2,1,3.3,0.021,0.019,0.502,12.6
1997-05-01    12:02:55.5,6,wind,FF,214.987,-1.78,23.84,3458.58,11.3,24,-339.2,-360.5,6.7,-5.8,-11.1,24.7,RH09,-0.987,-0.095,0.128,380,0.3,0.8,143.82,0.8,4.1,1.9,3.1,1.5,3.3,0.011,0.07,0.128,8.4
